LoyaltyID,CustomerID,PointsEarned,TierLevel,JoinDate
28,61,4616,Platinum,2020-10-04T00:00:00.000Z
15,68,4412,Silver,2023-05-09T00:00:00.000Z
94,23,4603,Silver,2023-03-30T00:00:00.000Z
81,91,2345,Silver,2020-07-25T00:00:00.000Z
88,53,258,Gold,2022-11-23T00:00:00.000Z
85,51,2985,Bronze,2022-08-04T00:00:00.000Z
43,22,4632,Silver,2023-12-11T00:00:00.000Z
92,29,2810,Silver,2021-10-26T00:00:00.000Z
64,48,534,Gold,2022-10-05T00:00:00.000Z
4,62,1824,Platinum,2020-12-17T00:00:00.000Z
6,68,4291,Platinum,2020-09-25T00:00:00.000Z
35,44,2585,Gold,2020-12-18T00:00:00.000Z
90,47,4720,Gold,2021-08-27T00:00:00.000Z
7,90,2845,Bronze,2022-09-26T00:00:00.000Z
93,70,3859,Gold,2020-11-11T00:00:00.000Z
86,10,3726,Bronze,2020-01-05T00:00:00.000Z
16,38,1567,Gold,2021-06-17T00:00:00.000Z
99,11,4338,Platinum,2023-06-01T00:00:00.000Z
34,23,1762,Gold,2020-06-11T00:00:00.000Z
2,17,606,Gold,2021-06-26T00:00:00.000Z
83,26,1715,Gold,2022-12-06T00:00:00.000Z
61,9,2185,Platinum,2024-08-11T00:00:00.000Z
48,9,2996,Platinum,2021-12-04T00:00:00.000Z
36,75,2091,Platinum,2022-12-18T00:00:00.000Z
41,16,2998,Silver,2022-01-17T00:00:00.000Z
100,73,4601,Bronze,2020-08-26T00:00:00.000Z
11,53,2155,Silver,2022-04-24T00:00:00.000Z
21,46,2622,Platinum,2025-01-16T00:00:00.000Z
5,84,894,Gold,2020-03-18T00:00:00.000Z
10,69,3846,Bronze,2024-09-28T00:00:00.000Z
33,1,2181,Platinum,2020-06-24T00:00:00.000Z
9,5,1912,Silver,2023-07-03T00:00:00.000Z
14,34,3519,Gold,2020-09-12T00:00:00.000Z
1,5,399,Gold,2023-11-27T00:00:00.000Z
3,13,4782,Gold,2023-04-11T00:00:00.000Z
45,43,1692,Bronze,2020-11-06T00:00:00.000Z
